file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,4
style.css,2,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,31
style.css,3,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,32
style.css,4,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,1,23
style.css,5,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,6,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,7,css,b214aa97,taejunp095-ops,2026-04-01,21:27:26,-07:00,2026-04-01T21:27:26-07:00,0,4
style.css,8,css,b214aa97,taejunp095-ops,2026-04-01,21:27:26,-07:00,2026-04-01T21:27:26-07:00,1,23
style.css,9,css,75222825,taejunp095-ops,2026-04-07,16:36:53,-07:00,2026-04-07T16:36:53-07:00,1,15
style.css,10,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,18
style.css,11,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,19
style.css,12,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,1,17
style.css,13,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,0,0
style.css,14,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,0,0
style.css,15,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,0,1
style.css,16,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,1,21
style.css,17,css,dbd9b338,taejunp095-ops,2026-04-02,12:03:50,-07:00,2026-04-02T12:03:50-07:00,0,0
style.css,18,css,dbd9b338,taejunp095-ops,2026-04-02,12:03:50,-07:00,2026-04-02T12:03:50-07:00,0,0
style.css,19,css,dbd9b338,taejunp095-ops,2026-04-02,12:03:50,-07:00,2026-04-02T12:03:50-07:00,0,3
style.css,20,css,dbd9b338,taejunp095-ops,2026-04-02,12:03:50,-07:00,2026-04-02T12:03:50-07:00,1,14
style.css,21,css,dbd9b338,taejunp095-ops,2026-04-02,12:03:50,-07:00,2026-04-02T12:03:50-07:00,1,11
style.css,22,css,dbd9b338,taejunp095-ops,2026-04-02,12:03:50,-07:00,2026-04-02T12:03:50-07:00,0,0
style.css,23,css,dbd9b338,taejunp095-ops,2026-04-02,12:03:50,-07:00,2026-04-02T12:03:50-07:00,0,0
style.css,24,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,5
style.css,25,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,6
style.css,26,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,16
style.css,27,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,28,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,29,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,3
style.css,30,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,12
style.css,31,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,18
style.css,32,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,1,39
style.css,33,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,1,43
style.css,34,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,35,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,36,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,5
style.css,37,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,6
style.css,38,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,20
style.css,39,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,13
style.css,40,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,17
style.css,41,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,13
style.css,42,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,43,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,0
style.css,44,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,0,13
style.css,45,css,f31cfb56,taejunp095-ops,2026-04-13,11:06:08,-07:00,2026-04-13T11:06:08-07:00,1,45
style.css,46,css,e7dd2ce5,taejunp095-ops,2026-04-07,15:59:16,-07:00,2026-04-07T15:59:16-07:00,1,20
